# Translations for Path of Exile 1.
# The first line defines the order of languages. Every line after contains a translation.
# Append ".png" to the English name to resolve the image name. Language names resolve to flag icons the same way.
English, French, German, Japanese, Portuguese, Russian, Spanish, Thai, Tag
Harvest Scarab of Doubling, Scarabée du Bosquet du Doublement, Hain-Skarabäus der Verdopplung, 倍増のハーベストスカラベ, Escaravelho da Colheita da Duplicação, Скарабей Жатвы удвоения, Escarabajo de cosecha de duplicación, สคารับฮาร์เวสต์ แห่งสองเท่า, harvest-scarab-of-doubling
Shrieking Essence of Wrath, Essence stridente de Fureur, Kreischende Essenz des Zorns, 喚きのエッセンス（憤怒）, Essência da Ira Berrante, Визжащая сущность гнева, Esencia chillante de ira, Shrieking Essence of Wrath, shrieking-essence-of-wrath
Crescent Splinter, Esquille falciforme, Halbmond-Splitter, 三日月の破片, Fragmento Crescente, Серповидный осколок, Fragmento creciente, ชิ้นส่วนจันทร์เสี้ยว, crescent-splinter
Fracturing Orb, Orbe fissurant, Brüchige Sphäre, フラクチャーオーブ, Orbe Talhador, Раскалывающая сфера, Orbe fracturante, Fracturing Orb, fracturing-orb
Tattoo of the Kitava Heart Eater, Tatouage du Mange-cœur de Kitava, Tätowierung des Kitava-Herzenfressers, キタヴァの心臓喰らいのタトゥー, Tatuagem do Devorador de Corações de Kitava, Татуировка Пожирателя сердец Китавы, Tatuaje de comecorazones de Kitava, ลายสัก ผู้กินหัวใจคิทาวา, tattoo-of-the-kitava-heart-eater
Screaming Essence of Anger, Essence hurlante de Colère, Schreiende Essenz der Wut, 叫びのエッセンス（怒り）, Essência da Cólera Gritante, Кричащая сущность злобы, Esencia berreante de rabia, Screaming Essence of Anger, screaming-essence-of-anger
Fragment of the Minotaur, Fragment du Minotaure, Fragment des Minotauren, ミノタウロスの断片, Fragmento do Minotauro, Фрагмент Минотавра, Fragmento del minotauro, ชิ้นส่วนมิโนทอร์, minot
Splinter of Esh, Esquille d'Esh, Eshs Splitter, エシュの破片, Lasca de Esh, Осколок Иш, Astilla de Esh, ชิ้นส่วนเอ็ช, splinter-esh
Shrieking Essence of Envy, Essence stridente de Convoitise, Kreischende Essenz des Neids, 喚きのエッセンス（嫉妬）, Essência da Inveja Berrante, Визжащая сущность зависти, Esencia chillante de envidia, Shrieking Essence of Envy, shrieking-essence-of-envy
Ambush Scarab of Discernment, Scarabée de l'Embuscade du Discernement, Hinterhalt-Skarabäus des Scharfsinns, 眼識のアンブッシュスカラベ, Escaravelho da Emboscada do Discernimento, Скарабей Засады разборчивости, Escarabajo de emboscada de discernimiento, สคารับกล่องนิรภัย แห่งการแยกแยะ, ambush-scarab-of-discernment
Journey Tattoo of the Soul, Tatouage initiatique de l'Âme, Reisetätowierung der Seele, 魂の旅のタトゥー, Tatuagem da Jornada da Mente, Татуировка странствия души, Tatuaje de viaje del alma, ลายสักสัญจร วิญญาณ, journey-tattoo-of-the-soul
Shrieking Essence of Fear, Essence stridente de Peur, Kreischende Essenz der Angst, 喚きのエッセンス（不安）, Essência do Medo Berrante, Визжащая сущность страха, Esencia chillante de miedo, Shrieking Essence of Fear, shrieking-essence-of-fear
Jeweller's Orb, Orbe de joaillier, Sphäre des Goldschmieds, 宝飾職人のオーブ, Orbe do Joalheiro, Сфера златокузнеца, Orbe de joyero, Jeweller's Orb, jewellers
Rogue's Marker, Pièce marquée de Malfaiteur, Signum der Abtrünnigen, ローグマーカー, Insígnia do Renegado, Разбойничий жетон, Moneda del renegado, เหรียญกองโจร, rogues-marker
Wailing Essence of Spite, Essence gémissante d'Acrimonie, Klagende Essenz der Bosheit, 呻きのエッセンス（悪意）, Essência do Rancor Lamentante, Вопящая сущность неприязни, Esencia lamentosa de rencor, Wailing Essence of Spite, wailing-essence-of-spite
Horned Scarab of Pandemonium, Scarabée cornu du Pandémonium, Gehörnter Skarabäus des Pandämoniums, 地獄の有角のスカラベ, Escaravelho Chifrudo do Pandemônio, Рогатый скарабей Пандемониума, Escarabajo cornudo de pandemonio, สคารับมีเขา แห่งความโกลาหล, horned-scarab-of-pandemonium
Eldritch Exalted Orb, Orbe exalté surnaturel, Übernatürliche Erhabene Sphäre, エルドリッチの高貴なオーブ, Orbe Ancestral Exaltado, Мистическая сфера возвышения, Orbe exaltado sobrenatural, Eldritch Exalted Orb, eldritch-exalted-orb
Whispering Essence of Woe, Essence murmurante d'Affliction, Flüsternde Essenz des Kummers, 囁きのエッセンス（悲痛）, Essência da Angústia Sussurrante, Шепчущая сущность скорби, Esencia susurrante de aflicción, Whispering Essence of Woe, whispering-essence-of-woe
Torment Scarab of Possession, Scarabée du Tourment de la Possession, Folter-Skarabäus des Besitzes, 憑依のトーメントスカラベ, Escaravelho Atormentado da Possessão, Скарабей Мучения одержимости, Escarabajo de tormento de posesión, สคารับผีตายโหง แห่งการเข้าสิง, torment-scarab-of-possession
Bestiary Scarab of Duplicating, Scarabée du Bestiaire de la Duplication, Bestien-Skarabäus der Vervielfältigung, 複製のベスティアリースカラベ, Escaravelho do Bestiário da Duplicação, Скарабей Бестиария удвоения, Escarabajo de bestiario de duplicación, สคารับรวมสัตว์ แห่งการสร้างซ้ำ, bestiary-scarab-of-duplicating
Life Rune, Rune de la Vie, Lebensrune, 命のルーン, Runa Vital, Руна Жизни, Runa de vida, อักขระชีวิต, life-rune
Bestiary Scarab, Scarabée du Bestiaire, Bestien-Skarabäus, ベスティアリースカラベ, Escaravelho do Bestiário, Скарабей Бестиария, Escarabajo de bestiario, สคารับรวมสัตว์, bestiary-scarab
Imbued Catalyst, Catalyseur imprégné, Durchdrungener Katalysator, 教示のカタリスト, Catalisador Imbuído, Волшебный катализатор, Catalizador imbuido, Imbued Catalyst, imbued-catalyst
Horizon Shard, Éclat d'horizon, Scherbe der Horizonte, 地平の欠片, Lasca do Horizonte, Осколок горизонтов, Esquirla de horizonte, ชิ้นส่วน Horizon, horizon-shard
Obscured Incubator, Incubateur indiscernable, Obskurer Inkubator, 不明瞭なインキュベーター, Incubador Obscuro, Затемнённый инкубатор, Incubadora oculta, ตัวบ่มฟักมืดมัว, obscured-incubator
Tattoo of the Hinekora Deathwarden, Tatouage du Garde-mort d'Hinekora, Tätowierung des Hinekora-Totenwächters, ヒネコラの死の番人のタトゥー, Tatuagem do Guarda Mortal de Hinekora, Татуировка Стража смерти Хинекоры, Tatuaje de guardián de la muerte de Hinekora, ลายสัก ผู้คุมความตายฮิเนโครา, tattoo-of-the-hinekora-deathwarden
Delirium Scarab of Neuroses, Scarabée du Délire de la Névrose, Delirium-Skarabäus der Neurose, 神経症のデリリウムスカラベ, Escaravelho do Delírio da Neurose, Скарабей Делириума неврозов, Escarabajo de delirio de neurosis, สคารับเดลิเรียม แห่งโรคประสาท, delirium-scarab-of-neuroses
Xoph's Flawless Breachstone, Pierre de Brèche parfaite de Xoph, Xophs makelloser Riss-Stein, ゾフの極限ブリーチストーン, Pedra de Fenda Impecável de Xoph, Безупречный камень Разлома Ксофа, Piedra de fisura perfecta de Xoph, ศิลาบรีชไร้ที่ติแห่งซอปห์, xophs-flawless-breachstone
Orb of Alteration, Orbe d'altération, Veränderungssphäre, 改変のオーブ, Orbe da Alteração, Сфера перемен, Orbe de alteración, Orb of Alteration, alt
Golden Oil, Huile dorée, Goldenes Öl, 金色のオイル, Óleo Dourado, Золотое масло, Aceite dorado, Golden Oil, golden-oil
Tainted Jeweller's Orb, Orbe de joaillier impur, Korrosive Sphäre des Goldschmieds, 汚染された宝飾職人のオーブ, Orbe do Joalheiro Corroído, Порочная сфера златокузнеца, Orbe de joyero contaminado, Tainted Jeweller's Orb, tainted-jewellers-orb
Ambush Scarab of Potency, Scarabée de l'Embuscade de l'Amplification, Hinterhalt-Skarabäus der Stärke, 有効性のアンブッシュスカラベ, Escaravelho da Emboscada da Potência, Скарабей Засады могущества, Escarabajo de emboscada de potencia, สคารับกล่องนิรภัย แห่งศักยภาพ, ambush-scarab-of-potency
Opalescent Oil, Huile opalescente, Opalisierendes Öl, 乳白色のオイル, Óleo Opalescente, Перламутровое масло, Aceite opalescente, Opalescent Oil, opalescent-oil
Orb of Annulment, Orbe d'annulation, Sphäre der Annullierung, 消去のオーブ, Orbe da Anulação, Сфера отмены, Orbe de anulación, Orb of Annulment, annul
Omen of Adrenaline, Présage d'adrénaline, Omen des Adrenalins, アドレナリンのお告げ, Presságio da Adrenalina, Предсказание адреналина, Augurio de adrenalina, ลางบอกเหตุอะดรีนาลีน, omen-of-adrenaline
Shrieking Essence of Doubt, Essence stridente d'Incertitude, Kreischende Essenz des Zweifels, 喚きのエッセンス（疑心）, Essência da Hesitação Berrante, Визжащая сущность сомнения, Esencia chillante de duda, Shrieking Essence of Doubt, shrieking-essence-of-doubt
Fossilised Delirium Orb, Orbe fossilisé de Délire, Versteinerte Sphäre des Deliriums, 化石のデリリウムオーブ, Orbe Delirante Fossilizada, Ископаемая сфера Делириума, Orbe de delirio fosilizado, ลูกแก้วเดลิเรียมฟอสซิล, fossilised-delirium-orb
Scarab of Bisection, Scarabée de la Bissection, Skarabäus der Zweiteilung, 二分割のスカラベ, Escaravelho da Bissecção, Скарабей раздвоения, Escarabajo de bisección, สคารับ แห่งการผ่าครึ่ง, scarab-of-bisection
Cartography Scarab of Escalation, Scarabée de Cartographie de l'Escalade, Kartographie-Skarabäus der Eskalation, 増大の地図製作のスカラベ, Escaravelho da Cartografia do Escalonamento, Скарабей картографии эскалации, Escarabajo de cartografía de escalada, สคารับแผนที่ แห่งการยกระดับ, cartography-scarab-of-escalation
Fractured Fossil, Fossile fissuré, Zerbrochenes Fossil, 粉砕された化石, Fóssil Talhado, Треснувшее ископаемое, Fósil fracturado, Fractured Fossil, fractured-fossil
Infused Incubator, Incubateur imprégné, Verstärkter Inkubator, 強化されたインキュベーター, Incubador Infundido, Заряженный инкубатор, Incubadora imbuida, ตัวบ่มฟักอาบพลัง, infused-incubator
Voidborn Reliquary Key, Clé du Reliquaire Néangendrée, Schlüssel zur Leerengeborener-Reliquienkammer, ヴォイドボーンの聖廟の鍵, Chave do Relicário Nascido do Vácuo, Ключ от Пустотного Реликвария, Llave del Relicario nacido del vacío, กุญแจคลังวัตถุโบราณห้วงว่าง, voidborn-reliquary-key
Synthesising Fragment, Fragment de Synthèse, Synthetisierendes Fragment, 合成の断片, Fragmento Sintetizado, Синтезирующий фрагмент, Fragmento sintetizador, ชิ้นส่วนสังเคราะห์, synthesising-fragment
Domination Scarab, Scarabée de Domination, Schrein-Skarabäus, ドミネーションスカラベ, Escaravelho do Domínio, Скарабей Господства, Escarabajo de dominación, สคารับแท่นบูชา, domination-scarab
Essence Scarab of Adaptation, Scarabée d'Essence de l'Adaptation, Essenz-Skarabäus der Anpassung, 適応のエッセンススカラベ, Escaravelho da Essência da Adaptação, Скарабей Сущности адаптации, Escarabajo de esencia de adaptación, สคารับเอสเซนส์ แห่งการปรับตัว, essence-scarab-of-adaptation
Omen of Return, Présage de retour, Omen der Rückkehr, 帰還のお告げ, Presságio do Retorno, Предсказание возвращения, Augurio de retorno, ลางบอกเหตุหวนคืน, omen-of-return
Celestial Blacksmith's Incubator, Incubateur du forgeron céleste, Himmlischer Inkubator des Schmieds, 天上の鍛冶屋のインキュベーター, Incubador Celestial do Ferreiro, Небесный инкубатор кузнеца, Incubadora celestial del Herrero, ตัวบ่มฟักช่างตีเหล็กดวงดาว, celestial-blacksmiths-incubator
Muttering Essence of Fear, Essence chuchotante de Peur, Murmelnde Essenz der Angst, 呟きのエッセンス（不安）, Essência do Medo Murmurante, Бормочущая сущность страха, Esencia murmurante de miedo, Muttering Essence of Fear, muttering-essence-of-fear
Incandescent Invitation, Invitation incandescente, Glühende Einladung, 白熱する招待状, Convite Incandescente, Сияющее приглашение, Invitación incandescente, คำเชิญโชติช่วง, incandescent-invitation
Regal Orb, Orbe royal, Hoheitliche Sphäre, 王者のオーブ, Orbe Régio, Сфера царей, Orbe regio, Regal Orb, regal
Lesser Eldritch Ember, Braise surnaturelle mineure, Kleine übernatürliche Glut, エルドリッチエンバー（小）, Brasa Ancestral Menor, Мелкий древний уголёк, Brasa sobrenatural menor, เถ้าถ่านผิดธรรมชาติชั้นต่ำ, lesser-eldritch-ember
Delirium Scarab of Delusions, Scarabée du Délire de l’Hallucination, Delirium-Skarabäus der Wahnvorstellungen, 妄想のデリリウムスカラベ, Escaravelho do Delírio das Alucinações, Скарабей Делириума галлюцинаций, Escarabajo de delirio de delusiones, สคารับเดลิเรียม แห่งจิตหลงผิด, delirium-scarab-of-delusions
Ritual Vessel, Réceptacle de Rituel, Ritualgefäß, リチュアルの器, Recipiente Ritualístico, Ритуальный сосуд, Recipiente de ritual, คนโทพิธีกรรม, ritual-vessel
Ambush Scarab, Scarabée de l'Embuscade, Hinterhalt-Skarabäus, アンブッシュスカラベ, Escaravelho da Emboscada, Скарабей Засады, Escarabajo de emboscada, สคารับกล่องนิรภัย, ambush-scarab
Muttering Essence of Greed, Essence chuchotante d'Avarice, Murmelnde Essenz der Gier, 呟きのエッセンス（貪欲）, Essência da Ganância Murmurante, Бормочущая сущность жадности, Esencia murmurante de avaricia, Muttering Essence of Greed, muttering-essence-of-greed
Scarab of Adversaries, Scarabée des Adversaires, Skarabäus der Widersacher, 敵対者のスカラベ, Escaravelho dos Adversários, Скарабей антагонистов, Escarabajo de adversarios, สคารับ แห่งปรปักษ์, scarab-of-adversaries
Essence Scarab of Ascent, Scarabée d'Essence de l'Ascension, Essenz-Skarabäus des Aufstiegs, 向上のエッセンススカラベ, Escaravelho da Essência da Ascensão, Скарабей Сущности восхождения, Escarabajo de esencia de ascenso, สคารับเอสเซนส์ แห่งการขึ้นสูง, essence-scarab-of-ascent
Domination Scarab of Terrors, Scarabée de Domination des Terreurs, Schrein-Skarabäus der Schrecken, 恐怖のドミネーションスカラベ, Escaravelho do Domínio dos Terrores, Скарабей Господства ужасов, Escarabajo de dominación de terrores, สคารับแท่นบูชา แห่งภัยสยอง, domination-scarab-of-terrors
Bound Rune, Rune du Lien, Bindungsrune, 縛のルーン, Runa Limitante, Руна Единства, Runa de vinculación, อักขระตรึง, bound-rune
Wailing Essence of Suffering, Essence gémissante de Souffrance, Klagende Essenz des Leids, 呻きのエッセンス（苦痛）, Essência do Sofrimento Lamentante, Вопящая сущность страдания, Esencia lamentosa de sufrimiento, Wailing Essence of Suffering, wailing-essence-of-suffering
Bestiary Scarab of the Shadowed Crow, Scarabée du Bestiaire de La Mórrigan noire, Bestien-Skarabäus der Schattenkrähe, 影の鴉のベスティアリースカラベ, Escaravelho do Bestiário do Corvo das Sombras, Скарабей Бестиария тёмной вороны, Escarabajo de bestiario de cuervo ensombrecido, สคารับรวมสัตว์ แห่งนกกาเงา, bestiary-scarab-of-the-shadowed-crow
Exotic Coinage, Monnaie exotique, Ausländische Münzen, 異国のコイン, Moeda Exótica, Диковинные монеты, Acuñación exótica, เหรียญต่างแดน, exotic-coinage
Ambush Scarab of Containment, Scarabée de l'Embuscade du Confinement, Hinterhalt-Skarabäus der Eindämmung, 格納のアンブッシュスカラベ, Escaravelho da Emboscada da Contenção, Скарабей Засады содержания, Escarabajo de emboscada de contención, สคารับกล่องนิรภัย แห่งการกักเก็บ, ambush-scarab-of-containment
Orb of Chance, Orbe de chance, Sphäre der Möglichkeiten, 可能性のオーブ, Orbe da Chance, Сфера удачи, Orbe de azar, Orb of Chance, chance
Maddening Incubator, Incubateur aliénant, Inkubator des Wahnsinns, 狂気のインキュベーター, Incubador Enlouquecedor, Одержимый инкубатор, Incubadora enloquecedora, ตัวบ่มฟักบ้าคลั่ง, maddening-incubator
Kalguuran Incubator, Incubateur kalguurien, Kalguurischer Inkubator, カルグールのインキュベーター, Incubador Kalguuran, Калгууранский инкубатор, Incubadora kalguur, ตัวบ่มฟักคาลเกอร์, kalguuran-incubator
Tattoo of the Hinekora Warrior, Tatouage du Guerrier d'Hinekora, Tätowierung des Hinekora-Kriegers, ヒネコラの戦士のタトゥー, Tatuagem do Guerreiro de Hinekora, Татуировка Воина Хинекоры, Tatuaje de guerrero de Hinekora, ลายนัก นักรบฮิเนโครา, tattoo-of-the-hinekora-warrior
Blight Scarab of Invigoration, Scarabée de l'Infestation de la Revigoration, Befall-Skarabäus der Kräftigung, 活性化のブライトスカラベ, Escaravelho da Infestação Revigorante, Скарабей Скверны воодушевления, Escarabajo de plaga de vigorización, สคารับไบล์ท แห่งการหล่อเลี้ยงชีวิต, blight-scarab-of-invigoration
Fragment of the Phoenix, Fragment du Phénix, Fragment des Phönix, フェニックスの断片, Fragmento da Fênix, Фрагмент Феникса, Fragmento del fénix, ชิ้นส่วนฟีนิกซ์, phoenix
Cartography Scarab of Corruption, Scarabée de Cartographie de la Corruption, Kartographie-Skarabäus der Verderbtheit, 穢れの地図製作のスカラベ, Escaravelho da Cartografia do Corrompimento, Скарабей картографии осквернения, Escarabajo de cartografía de corrupción, สคารับแผนที่ แห่งมลทิน, cartography-scarab-of-corruption
Exalted Shard, Éclat exalté, Erhabene Scherbe, 高貴な欠片, Lasca Exaltada, Осколок возвышения, Esquirla exaltada, ชิ้นส่วน Exalted, exalted-shard
Sulphite Scarab of Fumes, Scarabée de Sulfite des Émanations, Sulfit-Skarabäus der Dämpfe, 煙霧のサルファイトスカラベ, Escaravelho de Sulfito dos Gases, Сульфитовый скарабей испарений, Escarabajo de sulfito de gases, สคารับซัลไฟต์ แห่งไอเดือดดาล, sulphite-scarab-of-fumes
Bounty Rune, Rune de l'Abondance, Gabenrune, 賜のルーン, Runa Recompensadora, Руна Щедрости, Runa de botín, อักขระมั่งมี, bounty-rune
Esh's Flawless Breachstone, Pierre de Brèche parfaite d'Esh, Eshs makelloser Riss-Stein, エシュの極限ブリーチストーン, Pedra de Fenda Impecável de Esh, Безупречный камень Разлома Иш, Piedra de fisura perfecta de Esh, ศิลาบรีชไร้ที่ติแห่งเอ็ช, eshs-flawless-breachstone
Primal Delirium Orb, Orbe primitif de Délire, Urzeitliche Sphäre des Deliriums, 原初のデリリウムオーブ, Orbe Delirante Primitivo, Первобытная сфера Делириума, Orbe de delirio primitivo, ลูกแก้วเดลิเรียมปฐมกาล, primal-delirium-orb
Kalguuran Delirium Orb, Orbe kalguurien de Délire, Kalguurische Sphäre des Deliriums, カルグールのデリリウムオーブ, Orbe Delirante Kalguuran, Калгууранская сфера Делириума, Orbe de delirio kalguur, ลูกแก้วเดลิเรียมคาลเกอร์, kalguuran-delirium-orb
Weeping Essence of Anger, Essence larmoyante de Colère, Wimmernde Essenz der Wut, 嘆きのエッセンス（怒り）, Essência da Cólera Lamuriante, Плачущая сущность злобы, Esencia llorosa de rabia, Weeping Essence of Anger, weeping-essence-of-anger
Influencing Scarab of Conversion, Scarabée d'Influence de la Conversion, Beeinflussender Skarabäus der Umwandlung, 転向のインフルエンススカラベ, Escaravelho da Influência da Conversão, Влиятельный скарабей превращения, Escarabajo de influencia de conversión, สคารับอิทธิพล แห่งการแปลง, influencing-scarab-of-conversion
Orb of Alchemy, Orbe d'alchimie, Sphäre der Alchemie, 錬金術のオーブ, Orbe da Alquimia, Сфера алхимии, Orbe de alquimia, Orb of Alchemy, alch
Fertile Catalyst, Catalyseur fertile, Fruchtbarer Katalysator, 肥沃のカタリスト, Catalisador Fértil, Насыщенный катализатор, Catalizador fértil, Fertile Catalyst, fertile-catalyst
Shrieking Essence of Scorn, Essence stridente de Mépris, Kreischende Essenz des Gespötts, 喚きのエッセンス（軽蔑）, Essência do Desprezo Berrante, Визжащая сущность насмешки, Esencia chillante de desdén, Shrieking Essence of Scorn, shrieking-essence-of-scorn
Orb of Transmutation, Orbe de transmutation, Umwandlungssphäre, 変成のオーブ, Orbe da Transmutação, Сфера превращения, Orbe de transmutación, Orb of Transmutation, transmute
Shrieking Essence of Anguish, Essence stridente d'Angoisse, Kreischende Essenz der Qual, 喚きのエッセンス（苦悶）, Essência da Agonia Berrante, Визжащая сущность горя, Esencia chillante de angustia, Shrieking Essence of Anguish, shrieking-essence-of-anguish
Fragment of Knowledge, Fragment de la Connaissance, Fragment des Wissens, 知識の断片, Fragmento do Conhecimento, Фрагмент знания, Fragmento de conocimiento, ชิ้นส่วนปัญญา, fragment-of-knowledge
Jeweller's Delirium Orb, Orbe orné de Délire, Verzierte Sphäre des Deliriums, 宝飾職人のデリリウムオーブ, Orbe Delirante do Joalheiro, Ювелирная сфера Делириума, Orbe de delirio del joyero, ลูกแก้วเดลิเรียมช่างอัญมณี, jewellers-delirium-orb
Engineer's Shard, Éclat d'ingénieur, Scherbe des Ingenieurs, 技師の欠片, Lasca do Engenheiro, Инженерный осколок, Esquirla del ingeniero, ชิ้นส่วน Engineer, engineers-shard
Crusader's Exalted Orb, Orbe exalté du Croisé, Erhabene Sphäre des Kreuzritters, クルセイダーの高貴なオーブ, Orbe Exaltado do Cruzado, Сфера возвышения крестоносца, Orbe exaltado del Cruzado, Crusader's Exalted Orb, crusaders-exalted-orb
Bound Fossil, Fossile uni, Verbundenes Fossil, 縛られた化石, Fóssil Colado, Связующее ископаемое, Fósil ligado, Bound Fossil, bound-fossil
Wild Crystallised Lifeforce, Force vitale sauvage cristallisée, Wilde kristallisierte Lebenskraft, 結晶化したワイルドライフフォース, Força Vital Cristalizada Selvagem, Дикая кристализованная жизненная сила, Fuerza vital salvaje cristalizada, ผลึกพลังแห่งชีวิตเกรี้ยวกราด, wild-lifeforce
Tattoo of the Tawhoa Naturalist, Tatouage du Naturaliste de Tawhoa, Tätowierung des Tawhoa-Naturalisten, タウホアの自然主義者のタトゥー, Tatuagem do Naturalista de Tawhoa, Татуировка Натуралиста Тахоа, Tatuaje de naturalista de Tawhoa, ลายสัก นักธรรมชาติวิทยาทาฟัว, tattoo-of-the-tawhoa-naturalist
Shrieking Essence of Loathing, Essence stridente d'Aversion, Kreischende Essenz der Abscheu, 喚きのエッセンス（嫌悪）, Essência da Repugnância Berrante, Визжащая сущность отвращения, Esencia chillante de aversión, Shrieking Essence of Loathing, shrieking-essence-of-loathing
Tattoo of the Tawhoa Shaman, Tatouage du Chaman de Tawhoa, Tätowierung des Tawhoa-Schamanen, タウホアシャーマンのタトゥー, Tatuagem do Xamã de Tawhoa, Татуировка Шамана Тахоа, Tatuaje de chamán de Tawhoa, ลายสัก คนทรงทาฟัว, tattoo-of-the-tawhoa-shaman
Exalted Orb, Orbe exalté, Erhabene Sphäre, 高貴なオーブ, Orbe Exaltado, Сфера возвышения, Orbe exaltado, Exalted Orb, exalted
Abyss Scarab of Profound Depth, Scarabée de l'Abysse des Profondeurs extrêmes, Abgrund-Skarabäus der enormen Tiefe, 深遠のアビススカラベ, Escaravelho Abissal das Profundezas, Скарабей Бездны бездонности, Escarabajo de abismo de profundidad intensa, สคารับอะบิส แห่งความลึกเหนือพรรณนา, abyss-scarab-of-profound-depth
Scarab of Radiant Storms, Scarabée des Tempêtes rayonnantes, Skarabäus der Strahlenden Stürme, 輝く嵐のスカラベ, Escaravelho das Tempestades Radiantes, Скарабей сияющих бурь, Escarabajo de tormentas radiantes, สคารับ แห่งพายุสว่างไสว, scarab-of-radiant-storms
Screaming Essence of Greed, Essence hurlante d'Avarice, Schreiende Essenz der Gier, 叫びのエッセンス（貪欲）, Essência da Ganância Gritante, Кричащая сущность жадности, Esencia berreante de avaricia, Screaming Essence of Greed, screaming-essence-of-greed
Chayula's Breachstone, Pierre de Brèche de Chayula, Chayulas Riss-Stein, チャユラのブリーチストーン, Pedra da Fenda de Chayula, Камень Разлома Чаюлы, Piedra de fisura de Chayula, ศิลาบรีชแห่งชายูล่า, chayulas-breachstone
Blight Scarab of Blooming, Scarabée de l'Infestation de la Floraison, Befall-Skarabäus der Blüte, 全盛のブライトスカラベ, Escaravelho da Infestação do Florescer, Скарабей Скверны цветения, Escarabajo de plaga de florecimiento, สคารับไบล์ท แห่งการเบ่งบาน, blight-scarab-of-blooming
Maven's Chisel of Procurement, Burin de la Prodige de l'Acquisition, Seherinmeißel der Beschaffung, メイヴェンの調達のたがね, Cinzel da Maven da Aquisição, Резец Мейвен добычи, Cincel de la Especialista de adquisición, สิ่วเมเวน แห่งการสรรหา, mavens-chisel-of-procurement
Timeless Vaal Emblem, Emblème intemporel des Vaal, Immerwährendes Emblem der Vaal, 時知らずのヴァールの徽章, Emblema Atemporal Vaal, Вневременной знак ваал, Emblema atemporal vaal, ตราสัญลักษณ์วาล์เหนือกาลเวลา, timeless-vaal-emblem
Scarab of Stability, Scarabée de la Stabilité, Skarabäus der Stabilität, 安定のスカラベ, Escaravelho da Estabilidade, Скарабей стабильности, Escarabajo de estabilidad, สคารับ แห่งความเสถียร, scarab-of-stability
Chaos Orb, Orbe du chaos, Chaossphäre, 混沌のオーブ, Orbe do Caos, Сфера хаоса, Orbe de caos, Chaos Orb, chaos
Timeless Maraketh Splinter, Esquille intemporelle des Marakeths, Immerwährender Splitter der Maraketh, マラケスの時知らずの破片, Lasca Atemporal Maraketh, Вневременной осколок маракетов, Fragmento atemporal maraketh, ชิ้นส่วนมาราเค็ทเหนือกาลเวลา, timeless-maraketh-splinter
Harbinger Scarab of Obelisks, Scarabée de Précurseur des Obélisques, Vorboten-Skarabäus der Obelisken, オベリスクのハービンジャースカラベ, Escaravelho do Emissário dos Obeliscos, Скарабей Предвестника обелисков, Escarabajo de heraldo de obeliscos, สคารับฮาร์บินเจอร์ แห่งแท่งศิลา, harbinger-scarab-of-obelisks
Tattoo of the Hinekora Storyteller, Tatouage du Conteur d'Hinekora, Tätowierung des Hinekora-Geschichtenerzählers, ヒネコラの語り部のタトゥー, Tatuagem do Orador de Hinekora, Татуировка Сказителя Хинекоры, Tatuaje de cuentacuentos de Hinekora, ลายสัก นักเล่าเรื่องฮิเนโครา, tattoo-of-the-hinekora-storyteller
Armoursmith's Delirium Orb, Orbe cuirassé de Délire, Gerüstete Sphäre des Deliriums, 鎧鍛冶のデリリウムオーブ, Orbe Delirante do Armeiro, Латная сфера Делириума, Orbe de delirio del armero, ลูกแก้วเดลิเรียมช่างตีเกราะ, armoursmiths-delirium-orb
Journey Tattoo of the Mind, Tatouage initiatique de l'Esprit, Reisetätowierung des Geists, 精神の旅のタトゥー, Tatuagem da Jornada da Mente, Татуировка странствия разума, Tatuaje de viaje de la mente, ลายสักสัญจร จิตใจ, journey-tattoo-of-the-mind
Turbulent Catalyst, Catalyseur agité, Stürmischer Katalysator, 大荒れのカタリスト, Catalisador Turbulento, Бурный катализатор, Catalizador turbulento, Turbulent Catalyst, turbulent-catalyst
Horned Scarab of Awakening, Scarabée cornu de l'Éveil, Gehörnter Skarabäus der Erweckung, 覚醒の有角のスカラベ, Escaravelho Chifrudo do Despertar, Рогатый скарабей пробуждения, Escarabajo cornudo de despertar, สคารับมีเขา แห่งการจุติ, horned-scarab-of-awakening
Metallic Fossil, Fossile métallique, Metallisches Fossil, 金属光沢の化石, Fóssil Metálico, Металлическое ископаемое, Fósil metálico, Metallic Fossil, metallic-fossil
Tribute to the Goddess, Tribut à la déesse, Tribut an die Göttin, 女神への賛辞, Tributo à Deusa, Дань богине, Tributo a la Diosa, เครื่องบรรณาการแด่เทพี, offer-tribute
Fracturing Shard, Éclat fissurant, Brüchige Scherbe, フラクチャーの欠片, Lasca Talhadora, Раскалывающий осколок, Esquirla fracturante, ชิ้นส่วน Fracturing, fracturing-shard
Omen of the Soul Devourer, Présage du dévoreur d'âmes, Omen des Seelenverschlingers, 魂喰らいのお告げ, Presságio do Devorador de Almas, Предсказание Пожирателя душ, Augurio del devorador de almas, ลางบอกเหตุผู้สวาปามวิญญาณ, omen-of-the-soul-devourer
