// Currency Translations
// Order: English, French, German, Japanese, Portuguese, Russian, Spanish, Thai

Kalguuran Incubator, Incubateur kalguurien, Kalguurischer Inkubator, カルグールのインキュベーター, Incubador Kalguuran, Калгууранский инкубатор, Incubadora kalguur, ตัวบ่มฟักคาลเกอร์
Legion Scarab of Command, Scarabée de Légion du Commandement, Legion-Skarabäus der Befehlsgewalt, 指令のリージョンスカラベ, Escaravelho da Legião do Comando, Скарабей Легиона командования, Escarabajo de legión de comando, สคารับกองพัน แห่งการบัญชา
Legion Scarab of Eternal Conflict, Scarabée de Légion du Conflit éternel, Legion-Skarabäus des Ewigen Konflikts, 永遠なる紛争のリージョンスカラベ, Escaravelho da Legião do Conflito Eterno, Скарабей Легиона вечной войны, Escarabajo de legión de conflicto eterno, สคารับกองพัน แห่งความขัดแย้งชั่วนิรันดร์
Legion Scarab of Officers, Scarabée de Légion des Officiers, Legion-Skarabäus des Offiziers, 将校のリージョンスカラベ, Escaravelho da Legião dos Oficiais, Скарабей Легиона офицеров, Escarabajo de legión de oficiales, สคารับกองพัน แห่งนายทหาร
Legion Scarab of The Sekhema, Scarabée de Légion de la Sekhema, Legion-Skarabäus der Sekhema, セケマのリージョンスカラベ, Escaravelho da Legião da Sekhema, Скарабей Легиона Сехемы, Escarabajo de legión de la Sekhema, สคารับกองพัน แห่งเซ็คเคมา
Legion Scarab, Scarabée de Légion, Legion-Skarabäus, リージョンスカラベ, Escaravelho da Legião, Скарабей Легиона, Escarabajo de legión, สคารับกองพัน
Lesser Eldritch Ember, Braise surnaturelle mineure, Kleine übernatürliche Glut, エルドリッチエンバー（小）, Brasa Ancestral Menor, Мелкий древний уголёк, Brasa sobrenatural menor, เถ้าถ่านผิดธรรมชาติชั้นต่ำ
Lesser Eldritch Ichor, Ichor surnaturel mineur, Kleiner übernatürlicher Ichor, エルドリッチイコル（小）, Fluido Ancestral Menor, Мелкий зловещий ихор, Icor sobrenatural menor, น้ำหนองผิดธรรมชาติชั้นต่ำ
Life Rune, Rune de la Vie, Lebensrune, 命のルーン, Runa Vital, Руна Жизни, Runa de vida, อักขระชีวิต
Lucent Fossil, Fossile brillant, Glänzendes Fossil, 輝く化石, Fóssil Luminoso, Светлое ископаемое, Fósil brillante, Lucent Fossil
Maddening Incubator, Incubateur aliénant, Inkubator des Wahnsinns, 狂気のインキュベーター, Incubador Enlouquecedor, Одержимый инкубатор, Incubadora enloquecedora, ตัวบ่มฟักบ้าคลั่ง
Maven's Chisel of Avarice, Burin de la Prodige de l'Avarice, Seherinmeißel der Habgier, メイヴェンの強欲のたがね, Cinzel da Maven da Avareza, Резец Мейвен алчности, Cincel de la Especialista de avaricia, สิ่วเมเวน แห่งความละโมบ
Maven's Chisel of Divination, Burin de la Prodige de la Divination, Seherinmeißel der Weissagung, メイヴェンの占いのたがね, Cinzel da Maven da Adivinhação, Резец Мейвен предсказания, Cincel de la Especialista de adivinación, สิ่วเมเวน แห่งการพยากรณ์
Maven's Chisel of Procurement, Burin de la Prodige de l'Acquisition, Seherinmeißel der Beschaffung, メイヴェンの調達のたがね, Cinzel da Maven da Aquisição, Резец Мейвен добычи, Cincel de la Especialista de adquisición, สิ่วเมเวน แห่งการสรรหา
Maven's Chisel of Proliferation, Burin de la Prodige de la Prolifération, Seherinmeißel der Durchdringung, メイヴェンの増殖のたがね, Cinzel da Maven da Proliferação, Резец Мейвен размножения, Cincel de la Especialista de proliferación, สิ่วเมเวน แห่งการแพร่พันธุ์
Maven's Chisel of Scarabs, Burin de la Prodige des Scarabées, Seherinmeißel der Skarabäen, メイヴェンのスカラベのたがね, Cinzel da Maven dos Escaravelhos, Резец Мейвен скарабеев, Cincel de la Especialista de escarabajos, สิ่วเมเวน แห่งสคารับ
Metallic Fossil, Fossile métallique, Metallisches Fossil, 金属光沢の化石, Fóssil Metálico, Металлическое ископаемое, Fósil metálico, Metallic Fossil
Mirror Shard, Éclat de miroir, Spiegelscherbe, 鏡の欠片, Lasca do Espelho, Осколок зеркала, Esquirla de espejo, ชิ้นส่วน Mirror
Mirror of Kalandra, Miroir de Kalandra, Spiegel von Kalandra, カランドラの鏡, Espelho de Kalandra, Зеркало Каландры, Espejo de Kalandra, Mirror of Kalandra
Mortal Grief, Chagrin mortifère, Tödliche Trauer, 定命の者の苦悩, Pesar Mortal, Смертное уныние, Dolor mortal, โศกสลดเยี่ยงมนุษย์
Mortal Hope, Espoir mortifère, Tödliche Hoffnung, 定命の者の望み, Esperança Mortal, Смертная надежда, Esperanza mortal, หวังเยี่ยงมนุษย์
Mortal Ignorance, Ignorance mortifère, Tödliche Ignoranz, 定命の者の無知, Ignorância Mortal, Смертное невежество, Ignorancia mortal, เขลาเยี่ยงมนุษย์
Mortal Rage, Rage mortifère, Tödliche Wut, 定命の者の怒り, Fúria Mortal, Смертный гнев, Furia mortal, เดือดดาลเยี่ยงมนุษย์
Mountain Rune, Rune de la Montagne, Bergrune, 山のルーン, Runa Montícola, Руна Горы, Runa de montaña, อักขระขุนเขา
Muttering Essence of Anger, Essence chuchotante de Colère, Murmelnde Essenz der Wut, 呟きのエッセンス（怒り）, Essência da Cólera Murmurante, Бормочущая сущность злобы, Esencia murmurante de rabia, Muttering Essence of Anger
Muttering Essence of Contempt, Essence chuchotante de Dédain, Murmelnde Essenz der Verachtung, 呟きのエッセンス（侮蔑）, Essência da Desgraça Murmurante, Бормочущая сущность презрения, Esencia murmurante de desprecio, Muttering Essence of Contempt
Muttering Essence of Fear, Essence chuchotante de Peur, Murmelnde Essenz der Angst, 呟きのエッセンス（不安）, Essência do Medo Murmurante, Бормочущая сущность страха, Esencia murmurante de miedo, Muttering Essence of Fear
Muttering Essence of Greed, Essence chuchotante d'Avarice, Murmelnde Essenz der Gier, 呟きのエッセンス（貪欲）, Essência da Ganância Murmurante, Бормочущая сущность жадности, Esencia murmurante de avaricia, Muttering Essence of Greed
Muttering Essence of Hatred, Essence chuchotante de Haine, Murmelnde Essenz des Hasses, 呟きのエッセンス（憎悪）, Essência do Ódio Murmurante, Бормочущая сущность ненависти, Esencia murmurante de odio, Muttering Essence of Hatred
Muttering Essence of Sorrow, Essence chuchotante de Chagrin, Murmelnde Essenz der Trauer, 呟きのエッセンス（悲哀）, Essência da Mágoa Murmurante, Бормочущая сущность печали, Esencia murmurante de pena, Muttering Essence of Sorrow
Muttering Essence of Torment, Essence chuchotante de Tourment, Murmelnde Essenz der Folter, 呟きのエッセンス（苦悩）, Essência do Tormento Murmurante, Бормочущая сущность мучения, Esencia murmurante de tormento, Muttering Essence of Torment
Muttering Essence of Woe, Essence chuchotante d'Affliction, Murmelnde Essenz des Kummers, 呟きのエッセンス（悲痛）, Essência da Angústia Murmurante, Бормочущая сущность скорби, Esencia murmurante de aflicción, Muttering Essence of Woe
Mysterious Incubator, Incubateur mystérieux, Geheimnisvoller Inkubator, 謎めいたインキュベーター, Incubador Misterioso, Загадочный инкубатор, Incubadora misteriosa, ตัวบ่มฟักลึกลับ
Noxious Catalyst, Catalyseur nocif, Schädlicher Katalysator, 有毒なカタリスト, Catalisador Nocivo, Ядовитый катализатор, Catalizador nocivo, Noxious Catalyst
Obscured Delirium Orb, Orbe indiscernable de Délire, Obskure Sphäre des Deliriums, 不明瞭なデリリウムオーブ, Orbe Delirante Obscura, Затемнённая Сфера Делириума, Orbe de delirio oscuro, ลูกแก้วเดลิเรียมมืดมัว
Obscured Incubator, Incubateur indiscernable, Obskurer Inkubator, 不明瞭なインキュベーター, Incubador Obscuro, Затемнённый инкубатор, Incubadora oculta, ตัวบ่มฟักมืดมัว
Offering to the Goddess, Offrande à la déesse, Opfergabe an die Göttin, 女神への供物, Oferenda à Deusa, Подношение богине, Ofrenda a la Diosa, เครื่องเซ่นไหว้แด่เทพี
Oil Extractor, Extracteur d'Huile, Öl-Extrahierer, オイル抽出機, Extrator de Óleo, Экстрактор масел, Extractor de aceite, ตัวสกัดน้ำมัน
Omen of Adrenaline, Présage d'adrénaline, Omen des Adrenalins, アドレナリンのお告げ, Presságio da Adrenalina, Предсказание адреналина, Augurio de adrenalina, ลางบอกเหตุอะดรีนาลีน
Omen of Amelioration, Présage d'amélioration, Omen der Genesung, 改善のお告げ, Presságio da Melhoria, Предсказание избавления, Augurio de mejora, ลางบอกเหตุสงเคราะห์
Omen of Blanching, Présage de blanchiment, Omen des Bleichens, 白化のお告げ, Presságio da Albificação, Предсказание обеления, Augurio de blanqueamiento, ลางบอกเหตุล้างสี
Omen of Brilliance, Présage de virtuosité, Omen der Brillanz, 才気のお告げ, Presságio do Esplendor, Предсказание великолепия, Augurio de brillantez, ลางบอกเหตุปราดเปรื่อง
Omen of Connections, Présage de connexions, Omen der Verbindungen, 接続のお告げ, Presságio das Conexões, Предсказание связей, Augurio de conexiones, ลางบอกเหตุเชื่อมโยง
Omen of Death's Door, Présage de la porte de la mort, Omen der Schwelle des Todes, 死の扉のお告げ, Presságio da Quase Morte, Предсказание Врат Смерти, Augurio de puerta de la muerte, ลางบอกเหตุใกล้สิ้นลม
Omen of Death-dancing, Présage de danse avec la mort, Omen des Totentanzes, 死の舞のお告げ, Presságio da Morte Dançante, Предсказание танца со смертью, Augurio de danza con la muerte, ลางบอกเหตุระบำมรณะ
Omen of Fortune, Présage de bonne fortune, Omen des Schicksals, 幸運のお告げ, Presságio da Fortuna, Предсказание удачи, Augurio de fortuna, ลางบอกเหตุโชคลาภ
Omen of Refreshment, Présage de rétablissement, Omen der Erfrischung, 補給のお告げ, Presságio do Repouso, Предсказание восполнения, Augurio de revitalización, ลางบอกเหตุสดชื่น
Omen of Return, Présage de retour, Omen der Rückkehr, 帰還のお告げ, Presságio do Retorno, Предсказание возвращения, Augurio de retorno, ลางบอกเหตุหวนคืน
Omen of the Jeweller, Présage du joaillier, Omen des Goldschmieds, 宝飾職人のお告げ, Presságio do Joalheiro, Предсказание златокузнеца, Augurio del joyero, ลางบอกเหตุช่างเครื่องประดับ
Omen of the Soul Devourer, Présage du dévoreur d'âmes, Omen des Seelenverschlingers, 魂喰らいのお告げ, Presságio do Devorador de Almas, Предсказание Пожирателя душ, Augurio del devorador de almas, ลางบอกเหตุผู้สวาปามวิญญาณ
Opalescent Oil, Huile opalescente, Opalisierendes Öl, 乳白色のオイル, Óleo Opalescente, Перламутровое масло, Aceite opalescente, Opalescent Oil
Opulent Fossil, Fossile luxuriant, Opulentes Fossil, 華美な化石, Fóssil Opulento, Богатое ископаемое, Fósil opulento, Opulent Fossil
Orb of Alchemy, Orbe d'alchimie, Sphäre der Alchemie, 錬金術のオーブ, Orbe da Alquimia, Сфера алхимии, Orbe de alquimia, Orb of Alchemy
Orb of Alteration, Orbe d'altération, Veränderungssphäre, 改変のオーブ, Orbe da Alteração, Сфера перемен, Orbe de alteración, Orb of Alteration
Orb of Annulment, Orbe d'annulation, Sphäre der Annullierung, 消去のオーブ, Orbe da Anulação, Сфера отмены, Orbe de anulación, Orb of Annulment
Orb of Augmentation, Orbe d'augmentation, Aufwertungssphäre, 増強のオーブ, Orbe Ampliador, Сфера усиления, Orbe de aumento, Orb of Augmentation
Orb of Binding, Orbe de liaison, Bindungssphäre, 連結のオーブ, Orbe do Elo, Сфера сплетения, Orbe de vinculación, Orb of Binding
Orb of Chance, Orbe de chance, Sphäre der Möglichkeiten, 可能性のオーブ, Orbe da Chance, Сфера удачи, Orbe de azar, Orb of Chance
Orb of Conflict, Orbe du conflit, Sphäre des Konflikts, 対立のオーブ, Orbe do Conflito, Сфера вражды, Orbe de conflicto, ลูกแก้วปรปักษ์
Orb of Dominance, Orbe de domination, Sphäre der Beherrschung, 優性のオーブ, Orbe do Domínio, Сфера господства, Orbe de dominancia, ลูกแก้วครอบงำ
Orb of Fusing, Orbe de fusion, Verbindungssphäre, 結合のオーブ, Orbe da Fusão, Сфера соединения, Orbe de fusión, Orb of Fusing
Orb of Horizons, Orbe des horizons, Sphäre der Horizonte, 地平のオーブ, Orbe dos Horizontes, Сфера горизонтов, Orbe de horizontes, Orb of Horizons
Orb of Regret, Orbe de regret, Sphäre der Reue, 後悔のオーブ, Orbe do Remorso, Сфера раскаяния, Orbe de arrepentimiento, Orb of Regret
Orb of Scouring, Orbe de suppression, Sphäre der Läuterung, 洗浄のオーブ, Orbe do Expurgo, Сфера очищения, Orbe de purga, Orb of Scouring
Orb of Transmutation, Orbe de transmutation, Umwandlungssphäre, 変成のオーブ, Orbe da Transmutação, Сфера превращения, Orbe de transmutación, Orb of Transmutation
Orb of Unmaking, Orbe de démantèlement, Sphäre der Umkehr, 解除のオーブ, Orbe da Restituição, Сфера небытия, Orbe de destrucción, Orb of Unmaking
Oubliette Reliquary Key, Clé des Oubliettes du Reliquaire, Schlüssel zur Kerker-Reliquienkammer, 牢獄の聖廟の鍵, Chave do Relicário Oubliette, Ключ от Реликвария забвения, Llave del Relicario de mazmorra, กุญแจคลังวัตถุโบราณห้องขังลืม
Polaric Invitation, Invitation antipodique, Polare Einladung, 対極の招待状, Convite Polarizado, Полярное приглашение, Invitación polar, คำเชิญขั้วจักรวาล
Portal Scroll, Parchemin de portail, Portalrolle, ポータルの巻物, Pergaminho de Portal, Свиток портала, Pergamino de portal, Portal Scroll
Potent Chaotic Resonator, Résonateur chaotique fort, Wirkungsvoller chaotischer Resonator, 効果的な混沌のレゾネーター, Ressonador Caótico Potente, Активный хаотический резонатор, Resonador caótico potente, ตัวสั่นพ้องโกลาหลมีศักยภาพ
Power Rune, Rune du Pouvoir, Machtrune, 力のルーン, Runa Poderosa, Руна Силы, Runa de poder, อักขระพลัง
Powerful Chaotic Resonator, Résonateur chaotique puissant, Mächtiger chaotischer Resonator, 強力な混沌のレゾネーター, Ressonador Caótico Poderoso, Мощный хаотический резонатор, Resonador caótico poderoso, ตัวสั่นพ้องโกลาหลทรงพลัง
Primal Crystallised Lifeforce, Force vitale primitive cristallisée, Urzeitliche kristallisierte Lebenskraft, 結晶化したプライマルライフフォース, Força Vital Cristalizada Primitiva, Первобытная кристализованная жизненная сила, Fuerza vital primitiva cristalizada, ผลึกพลังแห่งชีวิตเก่าแก่
Primal Delirium Orb, Orbe primitif de Délire, Urzeitliche Sphäre des Deliriums, 原初のデリリウムオーブ, Orbe Delirante Primitivo, Первобытная сфера Делириума, Orbe de delirio primitivo, ลูกแก้วเดลิเรียมปฐมกาล
Primal Incubator, Incubateur primitif, Urzeitlicher Inkubator, 原始のインキュベーター, Incubador Primitivo, Первобытный инкубатор, Incubadora primitiva, ตัวบ่มฟักปฐมกาล
Prime Chaotic Resonator, Résonateur chaotique prodigieux, Unvergleichlicher chaotischer Resonator, 極上の混沌のレゾネーター, Ressonador Caótico Primordial, Превосходный хаотический резонатор, Resonador caótico primigenio, ตัวสั่นพ้องโกลาหลชั้นเลิศ
Primitive Chaotic Resonator, Résonateur chaotique primitif, Primitiver chaotischer Resonator, 素朴な混沌のレゾネーター, Ressonador Caótico Primitivo, Простейший хаотический резонатор, Resonador caótico primitivo, ตัวสั่นพ้องโกลาหลดึกดำบรรพ์
Prismatic Catalyst, Catalyseur prismatique, Prismatischer Katalysator, プリズムのカタリスト, Catalisador Prismático, Радужный катализатор, Catalizador prismático, Prismatic Catalyst
Prismatic Fossil, Fossile prismatique, Prismatisches Fossil, プリズムの化石, Fóssil Prismático, Радужное ископаемое, Fósil prismático, Prismatic Fossil
Prismatic Oil, Huile prismatique, Prismatisches Öl, 多彩なオイル, Óleo Prismático, Радужное масло, Aceite prismático, Prismatic Oil
Pristine Fossil, Fossile pur, Unversehrtes Fossil, 綺麗な化石, Fóssil Intocado, Чистое ископаемое, Fósil prístino, Pristine Fossil
Reality Fragment, Fragment de Réalité, Existenzielles Fragment, 実在の断片, Fragmento da Realidade, Фрагмент реальности, Fragmento de realidad, ชิ้นส่วนความเป็นจริง
Redeemer's Exalted Orb, Orbe exalté de la Rédemptrice, Erhabene Sphäre der Erlöserin, リディーマーの高貴なオーブ, Orbe Exaltado do Juiz, Сфера возвышения избавителя, Orbe exaltado de la Redentora, Redeemer's Exalted Orb
Reflecting Mist, Brume réfléchissante, Spiegelnder Nebel, 反射する霧, Névoa Refletiva, Отражающий туман, Niebla reflejante, หมอกสะท้อนภาพ
Reflective Oil, Huile réfléchissante, Spiegelndes Öl, 反射するオイル, Óleo Reflexivo, Зеркальное масло, Aceite reflector, Reflective Oil
Regal Orb, Orbe royal, Hoheitliche Sphäre, 王者のオーブ, Orbe Régio, Сфера царей, Orbe regio, Regal Orb
Regal Shard, Éclat royal, Hoheitliche Scherbe, 王者の欠片, Lasca Régia, Осколок царей, Esquirla regia, ชิ้นส่วน Regal
Remnant of Corruption, Reliquat de corruption, Relikt der Verderbtheit, コラプションレムナント, Resto de Corrupção, След Порчи, Remanente de corrupción, Remnant of Corruption
Ritual Scarab of Abundance, Scarabée de Rituel de l'Abondance, Ritual-Skarabäus des Überflusses, 豊富なリチュアルスカラベ, Escaravelho do Ritual da Abundância, Ритуальный скарабей изобилия, Escarabajo de ritual de abundancia, สคารับพิธีกรรม แห่งความล้นเหลือ
Ritual Scarab of Selectiveness, Scarabée de Rituel de la Sélectivité, Ritual-Skarabäus der Selektion, 選択性のリチュアルスカラベ, Escaravelho do Ritual da Seletividade, Ритуальный скарабей избранности, Escarabajo de ritual de selectividad, สคารับพิธีกรรม แห่งการเลือกสรร
Ritual Scarab of Wisps, Scarabée de Rituel des Flammeroles, Ritual-Skarabäus der Irrlichter, ウィスプのリチュアルスカラベ, Escaravelho do Ritual dos Espíritos, Ритуальный скарабей огоньков, Escarabajo de ritual de fuegos fatuos, สคารับพิธีกรรม แห่งวิสป์
Ritual Splinter, Esquille de Rituel, Ritualsplitter, リチュアルの破片, Lasca Ritualística, Ритуальный осколок, Fragmento de ritual, ชิ้นส่วนพิธีกรรม
Ritual Vessel, Réceptacle de Rituel, Ritualgefäß, リチュアルの器, Recipiente Ritualístico, Ритуальный сосуд, Recipiente de ritual, คนโทพิธีกรรม
River Rune, Rune de la Rivière, Flussrune, 川のルーン, Runa Fluvial, Руна Реки, Runa de río, อักขระแม่น้ำ
Rogue's Marker, Pièce marquée de Malfaiteur, Signum der Abtrünnigen, ローグマーカー, Insígnia do Renegado, Разбойничий жетон, Moneda del renegado, เหรียญกองโจร
Sacred Blossom, Floraison sacrée, Heilige Blüte, 聖なる花, Flor Sagrada, Священное соцветие, Brote sagrado, ดอกศักดิ์สิทธิ์
Sacred Crystallised Lifeforce, Force vitale sacrée cristallisée, Heilige kristallisierte Lebenskraft, 結晶化した聖なるライフフォース, Força Vital Cristalizada Sagrada, Священная кристализованная жизненная сила, Fuerza vital sagrada cristalizada, ผลึกพลังแห่งชีวิตศักดิ์สิทธิ์
Sacred Orb, Orbe sacré, Heilige Sphäre, 聖なるオーブ, Orbe Sagrado, Священная сфера, Orbe sagrado, Sacred Orb
Sacrifice at Dawn, Sacrifice à l'aube, Opfergabe bei Morgendämmerung, 黎明の生贄, Sacrifício ao Amanhecer, Жертва на рассвете, Sacrificio al amanecer, สังเวยย่ำอรุณ
Sacrifice at Dusk, Sacrifice au crépuscule, Opfergabe bei Abenddämmerung, 黄昏の生贄, Sacrifício ao Anoitecer, Жертва на закате, Sacrificio al anochecer, สังเวยย่ำสายัณห์
Sacrifice at Midnight, Sacrifice de minuit, Opfergabe bei Mitternacht, 正子の生贄, Sacrifício à Meia-Noite, Жертва в полночь, Sacrificio a medianoche, สังเวยย่ำสองยาม
Sacrifice at Noon, Sacrifice de midi, Opfergabe bei Mittag, 午刻の生贄, Sacrifício ao Meio Dia, Жертва в полдень, Sacrificio al mediodía, สังเวยย่ำเที่ยง
Sanctified Fossil, Fossile sanctifié, Sakrales Fossil, 聖別された化石, Fóssil Santificado, Освящённое ископаемое, Fósil santificado, Sanctified Fossil
Scarab of Adversaries, Scarabée des Adversaires, Skarabäus der Widersacher, 敵対者のスカラベ, Escaravelho dos Adversários, Скарабей антагонистов, Escarabajo de adversarios, สคารับ แห่งปรปักษ์
Scarab of Bisection, Scarabée de la Bissection, Skarabäus der Zweiteilung, 二分割のスカラベ, Escaravelho da Bissecção, Скарабей раздвоения, Escarabajo de bisección, สคารับ แห่งการผ่าครึ่ง
Scarab of Divinity, Scarabée de la Divinité, Skarabäus der Göttlichkeit, 神性のスカラベ, Escaravelho da Divindade, Скарабей божественности, Escarabajo de adivinación, สคารับ แห่งพลังเทวา
Scarab of Evolution, Scarabée de l'Évolution, Skarabäus der Evolution, 進化のスカラベ, Escaravelho da Evolução, Скарабей эволюции, Escarabajo de evolución, สคารับ แห่งวิวัฒนาการ
Scarab of Hunted Traitors, Scarabée des Traîtres persécutés, Skarabäus der gejagten Verräter, 追われている裏切り者のスカラベ, Escaravelho dos Traidores Assombrados, Скарабей затравленных предателей, Escarabajo de traidores cazados, สคารับ แห่งผู้ทรยศที่ถูกล่า
Scarab of Monstrous Lineage, Scarabée de la Lignée monstrueuse, Skarabäus der ungeheuerlichen Abstammung, 怪物の系譜のスカラベ, Escaravelho da Linhagem Monstruosa, Скарабей чудовищных поколений, Escarabajo de linaje monstruoso, สคารับ แห่งเชื้อสายสัตว์ประหลาด
Scarab of Radiant Storms, Scarabée des Tempêtes rayonnantes, Skarabäus der Strahlenden Stürme, 輝く嵐のスカラベ, Escaravelho das Tempestades Radiantes, Скарабей сияющих бурь, Escarabajo de tormentas radiantes, สคารับ แห่งพายุสว่างไสว
Scarab of Stability, Scarabée de la Stabilité, Skarabäus der Stabilität, 安定のスカラベ, Escaravelho da Estabilidade, Скарабей стабильности, Escarabajo de estabilidad, สคารับ แห่งความเสถียร
Scarab of Wisps, Scarabée des Flammeroles, Skarabäus der Irrlichter, ウィスプのスカラベ, Escaravelho dos Espíritos, Скарабей огоньков, Escarabajo de fuegos fatuos, สคารับ แห่งวิสป์
Scarab of the Commander, Scarabée du Commandant, Skarabäus des Kommandanten, 指揮官のスカラベ, Escaravelho do Comandante, Скарабей командующего, Escarabajo del comandante, สคารับ แห่งผู้บัญชาการ
Scorched Fossil, Fossile calciné, Angesengtes Fossil, 焦げた化石, Fóssil Cáustico, Опалённое ископаемое, Fósil ardiente, Scorched Fossil
Scrap Metal, Ferraille, Metallreste, 金属くず, Ferro Velho, Металлолом, Restos de metal, เศษโลหะ
Screaming Essence of Anger, Essence hurlante de Colère, Schreiende Essenz der Wut, 叫びのエッセンス（怒り）, Essência da Cólera Gritante, Кричащая сущность злобы, Esencia berreante de rabia, Screaming Essence of Anger
Screaming Essence of Anguish, Essence hurlante d'Angoisse, Schreiende Essenz der Qual, 叫びのエッセンス（苦悶）, Essência da Agonia Gritante, Кричащая сущность горя, Esencia berreante de angustia, Screaming Essence of Anguish
Screaming Essence of Contempt, Essence hurlante de Dédain, Schreiende Essenz der Verachtung, 叫びのエッセンス（侮蔑）, Essência da Desgraça Gritante, Кричащая сущность презрения, Esencia berreante de desprecio, Screaming Essence of Contempt
Screaming Essence of Doubt, Essence hurlante d'Incertitude, Schreiende Essenz des Zweifels, 叫びのエッセンス（疑心）, Essência da Hesitação Gritante, Кричащая сущность сомнения, Esencia berreante de duda, Screaming Essence of Doubt
Screaming Essence of Dread, Essence hurlante d'Effroi, Schreiende Essenz der Furcht, 叫びのエッセンス（恐怖）, Essência do Pavor Gritante, Кричащая сущность жути, Esencia berreante de terror, Screaming Essence of Dread
Screaming Essence of Envy, Essence hurlante de Convoitise, Schreiende Essenz des Neids, 叫びのエッセンス（嫉妬）, Essência da Inveja Gritante, Кричащая сущность зависти, Esencia berreante de envidia, Screaming Essence of Envy
Screaming Essence of Fear, Essence hurlante de Peur, Schreiende Essenz der Angst, 叫びのエッセンス（不安）, Essência do Medo Gritante, Кричащая сущность страха, Esencia berreante de miedo, Screaming Essence of Fear
Screaming Essence of Greed, Essence hurlante d'Avarice, Schreiende Essenz der Gier, 叫びのエッセンス（貪欲）, Essência da Ganância Gritante, Кричащая сущность жадности, Esencia berreante de avaricia, Screaming Essence of Greed
Screaming Essence of Hatred, Essence hurlante de Haine, Schreiende Essenz des Hasses, 叫びのエッセンス（憎悪）, Essência do Ódio Gritante, Кричащая сущность ненависти, Esencia berreante de odio, Screaming Essence of Hatred
Screaming Essence of Loathing, Essence hurlante d'Aversion, Schreiende Essenz der Abscheu, 叫びのエッセンス（嫌悪）, Essência da Repugnância Gritante, Кричащая сущность отвращения, Esencia berreante de aversión, Screaming Essence of Loathing
Screaming Essence of Misery, Essence hurlante de Détresse, Schreiende Essenz des Elends, 叫びのエッセンス（悲惨）, Essência da Miséria Gritante, Кричащая сущность тоски, Esencia berreante de miseria, Screaming Essence of Misery
Screaming Essence of Rage, Essence Hurlante de Rage, Schreiende Essenz der Rage, 叫びのエッセンス（激怒）, Essência da Raiva Gritante, Кричащая сущность ярости, Esencia berreante de furia, Screaming Essence of Rage
Screaming Essence of Scorn, Essence hurlante de Mépris, Schreiende Essenz des Gespötts, 叫びのエッセンス（軽蔑）, Essência do Desprezo Gritante, Кричащая сущность насмешки, Esencia berreante de desdén, Screaming Essence of Scorn
Screaming Essence of Sorrow, Essence hurlante de Chagrin, Schreiende Essenz der Trauer, 叫びのエッセンス（悲哀）, Essência da Mágoa Gritante, Кричащая сущность печали, Esencia berreante de pena, Screaming Essence of Sorrow
Screaming Essence of Spite, Essence hurlante d'Acrimonie, Schreiende Essenz der Bosheit, 叫びのエッセンス（悪意）, Essência do Rancor Gritante, Кричащая сущность неприязни, Esencia berreante de rencor, Screaming Essence of Spite
Screaming Essence of Suffering, Essence hurlante de Souffrance, Schreiende Essenz des Leids, 叫びのエッセンス（苦痛）, Essência do Sofrimento Gritante, Кричащая сущность страдания, Esencia berreante de sufrimiento, Screaming Essence of Suffering
Screaming Essence of Torment, Essence hurlante de Tourment, Schreiende Essenz der Folter, 叫びのエッセンス（苦悩）, Essência do Tormento Gritante, Кричащая сущность мучения, Esencia berreante de tormento, Screaming Essence of Torment
Screaming Essence of Woe, Essence hurlante d'Affliction, Schreiende Essenz des Kummers, 叫びのエッセンス（悲痛）, Essência da Angústia Gritante, Кричащая сущность скорби, Esencia berreante de aflicción, Screaming Essence of Woe
Screaming Essence of Wrath, Essence hurlante de Fureur, Schreiende Essenz des Zorns, 叫びのエッセンス（憤怒）, Essência da Ira Gritante, Кричащая сущность гнева, Esencia berreante de ira, Screaming Essence of Wrath
Screaming Essence of Zeal, Essence hurlante de Zèle, Schreiende Essenz des Eifers, 叫びのエッセンス（熱狂）, Essência do Zelo Gritante, Кричащая сущность усердия, Esencia berreante de fervor, Screaming Essence of Zeal
Screaming Invitation, Invitation hurlante, Schreiende Einladung, 泣き叫ぶ招待状, Convite Gritante, Кричащее приглашение, Invitación vociferante, คำเชิญแผดเสียง
Scroll of Wisdom, Parchemin de sagesse, Identifikationsrolle, 叡智の巻物, Pergaminho da Sabedoria, Свиток мудрости, Pergamino de sabiduría, Scroll of Wisdom
Sepia Oil, Huile sépia, Sepiafarbenes Öl, セピア色のオイル, Óleo Sépia, Коричневое масло, Aceite sepia, Sepia Oil
Serrated Fossil, Fossile dentelé, Geriffeltes Fossil, ノコギリ歯状の化石, Fóssil Dentado, Зубчатое ископаемое, Fósil serrado, Serrated Fossil
Shiny Reliquary Key, Clé du Reliquaire scintillante, Schlüssel zur Glänzenden Reliquienkammer, 輝く聖廟の鍵, Chave do Relicário Brilhante, Ключ от Сверкающего Реликвария, Llave del Relicario brillante, กุญแจคลังวัตถุโบราณแวววับ
Shrieking Essence of Anger, Essence stridente de Colère, Kreischende Essenz der Wut, 喚きのエッセンス（怒り）, Essência da Cólera Berrante, Визжащая сущность злобы, Esencia chillante de rabia, Shrieking Essence of Anger
